Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0463,176.7268,127.472,3.276e-17,2.822e-17,1.322e-17,136.4571,-357.88
FrontDG0464,176.8378,127.5256,6.943e-17,4.868e-17,2.174e-17,105.2688,-357.9
FrontDG0470,194.2949,65.0999,1.893e-17,1.402e-17,6.494e-18,57.3059,-846.62
FrontDG0471,194.3069,65.0638,1.384e-17,1.202e-17,4.69e-18,55.6732,-846.52
FrontDG0488,176.6166,78.0227,1.215e-17,1.019e-17,4.444e-18,96.1088,-724.61
FrontDG0489,176.776,78.0431,1.63e-17,1.359e-17,5.688e-18,57.3187,-724.34
FrontDG0490,176.5665,77.9507,1.605e-17,1.448e-17,5.797e-18,57.5717,-724.29
FrontDG0491,176.6811,77.9496,1.627e-17,1.264e-17,6.658e-18,72.8696,-724.14
FrontDG0492,176.628,77.9499,1.553e-17,1.217e-17,6.025e-18,59.8796,-724.17
FrontDG0493,176.6794,77.9161,1.822e-17,1.416e-17,6.821e-18,54.3305,-724.2
FrontDG0506,180.0388,82.9761,1.314e-17,1.13e-17,5.301e-18,122.7707,-587.04
FrontDG0507,179.965,82.8322,2.005e-17,1.728e-17,6.98e-18,67.3669,-587.01
FrontDG0508,180.1063,82.9231,2.153e-17,1.708e-17,7.735e-18,64.4261,-586.75
FrontDG0509,180.228,83.031,1.985e-17,2.001e-17,7.951e-18,66.2351,-586.81
FrontDG0510,180.0639,82.9656,2.08e-17,1.787e-17,8.078e-18,71.8841,-586.57
FrontDG0511,180.0787,83.1493,1.953e-17,1.659e-17,7.208e-18,69.0952,-586.59
FrontDG0512,180.0612,82.7752,2.197e-17,1.799e-17,8.462e-18,69.6609,-587.01
FrontDG0550,186.309,53.4587,7.788e-18,6.598e-18,3.123e-18,55.7662,-892.63
FrontDG0563,196.5869,111.7202,4.863e-17,4.02e-17,1.164e-17,202.6496,-668.73
FrontDG0564,196.5874,111.4738,1.092e-17,9.478e-18,4.5e-18,106.8555,-668.77
FrontDG0565,196.015,111.7424,1.078e-17,9.436e-18,3.671e-18,84.6366,-668.84
FrontDG0566,196.5702,111.4052,1.766e-17,1.418e-17,6.619e-18,63.7397,-668.66
FrontDG0567,196.5447,111.8144,1.685e-17,1.492e-17,7.369e-18,57.9047,-668.72
FrontDG0568,196.5799,112.095,1.895e-17,1.542e-17,6.842e-18,62.4364,-668.83
FrontDG0569,197.1624,111.917,1.132e-17,1.006e-17,4.267e-18,59.3268,-668.73
FrontDG0570,196.2539,111.9852,1.753e-17,1.275e-17,6.54e-18,63.7112,-668.79
FrontDG0571,197.0319,111.1739,1.73e-17,1.272e-17,6.119e-18,68.1114,-668.59
FrontDG0572,196.739,111.6554,1.082e-17,1.047e-17,4.467e-18,66.6385,-668.98
FrontDG0573,196.3767,111.9726,2.487e-17,2.103e-17,7.165e-18,60.0297,-668.65
FrontDG0574,196.7882,112.1853,1.815e-17,1.478e-17,6.63e-18,79.6476,-668.65
FrontDG0575,197.2029,111.9352,1.708e-17,1.479e-17,6.354e-18,71.6158,-668.96
FrontDG0576,196.8624,111.1908,1.608e-17,1.431e-17,6.701e-18,60.5218,-669.16
FrontDG0577,196.1231,111.2929,1.724e-17,1.427e-17,7.102e-18,69.8323,-669.15
FrontDG0578,197.1724,112.0762,1.696e-17,1.435e-17,6.078e-18,54.0981,-668.54
FrontDG0579,196.1065,111.5159,2.57e-17,1.867e-17,7.545e-18,53.2748,-668.89
FrontDG0580,196.7992,111.697,1.778e-17,1.546e-17,6.529e-18,64.161,-668.79
FrontDG0581,196.2614,112.0754,1.733e-17,1.644e-17,7.136e-18,67.3366,-668.98
FrontDG0582,196.9313,111.3788,1.533e-17,1.398e-17,5.866e-18,57.1695,-668.69
FrontDG0583,196.6358,111.2719,1.72e-17,1.511e-17,6.653e-18,56.5782,-668.87
FrontDG0584,196.6703,112.1938,1.508e-17,1.504e-17,6.114e-18,51.386,-668.98
FrontDG0585,196.1468,111.8845,1.057e-17,9.363e-18,4.166e-18,86.6796,-668.92
FrontDG0586,196.6415,112.2507,1.786e-17,1.499e-17,7.188e-18,63.1082,-668.75
FrontDG0587,197.0244,111.7025,1.142e-17,9.449e-18,4.519e-18,85.728,-668.54
FrontDG0588,196.434,112.1567,1.603e-17,1.41e-17,5.985e-18,52.1841,-669.0
FrontDG0589,197.0093,112.0072,2.19e-17,1.963e-17,7.754e-18,58.6712,-668.78
FrontDG0590,196.7085,111.7801,1.339e-17,1.046e-17,4.582e-18,146.6608,-668.87
FrontDG0591,195.8802,111.823,1.564e-17,1.319e-17,5.675e-18,47.1963,-668.68
FrontDG0592,196.9115,111.1217,2.402e-17,1.847e-17,8.17e-18,65.7487,-669.15
FrontDG0593,196.0771,111.2119,1.643e-17,1.478e-17,6.741e-18,56.931,-668.7
FrontDG0594,196.3177,111.9465,1.967e-17,1.366e-17,6.226e-18,68.0926,-668.97
FrontDG0660,177.5126,100.8291,1.414e-16,1.161e-16,3.355e-17,243.159,-400.97
FrontDG0661,177.1949,100.6945,6.003e-17,4.622e-17,2.224e-17,121.5315,-401.16
FrontDG0662,177.9259,100.2508,5.03e-17,3.735e-17,1.884e-17,100.142,-401.25
FrontDG0663,177.5618,100.9585,6.085e-17,4.435e-17,1.825e-17,114.9469,-401.32
FrontDG0664,177.557,100.8964,3.999e-17,3.199e-17,1.374e-17,250.6233,-401.45
FrontDG0665,177.821,101.1058,4.778e-17,4.019e-17,1.887e-17,114.0227,-401.34
FrontDG0666,177.3824,100.6975,5.731e-17,4.403e-17,2.014e-17,112.0493,-401.51
FrontDG0667,177.0098,100.8608,5.425e-17,4.342e-17,1.973e-17,101.6581,-401.17
FrontDG0668,177.5434,100.4776,8.314e-17,6.432e-17,2.579e-17,123.8947,-401.43
FrontDG0669,177.2633,101.226,5.45e-17,4.192e-17,1.957e-17,97.149,-401.02
FrontDG0670,177.7569,100.3136,5.555e-17,4.657e-17,2.187e-17,113.2434,-401.35
FrontDG0671,177.154,100.7165,6.367e-17,5.235e-17,2.105e-17,117.1211,-401.26
FrontDG0672,177.7846,100.603,6.296e-17,5.212e-17,2.227e-17,118.2829,-401.67
FrontDG0673,177.9185,101.1073,5.275e-17,4.617e-17,2.095e-17,133.6031,-401.59
FrontDG0674,178.2268,101.18,3.705e-17,3.352e-17,1.431e-17,139.9371,-401.54
FrontDG0704,187.3124,57.2461,3.211e-17,2.196e-17,7.484e-18,168.7854,-889.03
FrontDG0705,187.3846,57.3293,1.007e-17,8.461e-18,4.006e-18,41.603,-888.95
FrontDG0706,187.3775,57.2609,1.122e-17,9.788e-18,4.175e-18,51.6068,-889.24
FrontDG0707,187.3075,57.1914,1.059e-17,8.849e-18,4.155e-18,44.0413,-888.9
FrontDG0708,187.4158,57.4163,9.657e-18,9.135e-18,3.988e-18,50.2494,-889.01
FrontDG0709,187.2675,57.4559,1.028e-17,8.431e-18,3.713e-18,40.485,-889.48
FrontDG0710,187.2378,57.23,9.398e-18,8.796e-18,3.992e-18,44.6399,-888.86
FrontDG0711,187.3921,57.4571,1.019e-17,7.47e-18,3.872e-18,40.2777,-889.34
FrontDG0712,187.2526,57.2006,7.074e-18,6.215e-18,2.945e-18,50.3626,-889.04
FrontDG0713,187.3641,57.0379,1.432e-17,1.183e-17,4.87e-18,45.8015,-889.33
FrontDG0714,187.2943,57.1218,1.019e-17,8.136e-18,3.696e-18,39.5262,-889.26
FrontDG0715,187.3981,57.1883,9.814e-18,7.601e-18,3.802e-18,40.5735,-888.93
FrontDG0734,187.7355,123.7519,4.072e-17,2.835e-17,1.338e-17,226.5267,-366.64
FrontDG0735,187.6369,123.5087,5.652e-17,4.424e-17,2.378e-17,117.2779,-366.4
FrontDG0736,187.8151,123.695,5.997e-17,4.497e-17,2.07e-17,109.3599,-366.73
FrontDG0737,187.6832,123.5652,5.415e-17,4.499e-17,1.922e-17,87.701,-366.42
FrontDG0738,188.0468,123.4671,5.675e-17,4.807e-17,2.261e-17,130.0031,-366.39
FrontDG0739,188.0485,123.4483,5.159e-17,4.132e-17,1.776e-17,109.0122,-366.69
FrontDG0740,187.5662,123.6921,6.124e-17,4.826e-17,2.414e-17,122.8436,-366.44
FrontDG0741,182.2281,49.5409,1.399e-16,1.104e-16,4.564e-17,184.8907,-250.83
FrontDG0742,182.1478,49.5833,1.346e-16,1.14e-16,5.078e-17,221.8874,-250.89
FrontDG0743,181.7149,49.4673,1.533e-16,1.169e-16,4.929e-17,182.4616,-250.97
FrontDG0765,146.3358,54.9687,7.731e-18,6.694e-18,2.946e-18,47.5913,-883.51
FrontDG0766,146.247,54.9223,1.106e-17,9.662e-18,4.814e-18,48.6767,-883.79
FrontDG0767,146.2532,54.9229,9.989e-18,9.411e-18,4.131e-18,55.7993,-883.71
FrontDG0830,201.6558,100.998,2.693e-17,2.263e-17,9.073e-18,103.9807,-422.26
FrontDG0952,137.0962,115.3915,1.026e-17,8.234e-18,4.032e-18,69.0942,-739.32
FrontDG1043,166.9084,101.5611,1.483e-17,1.316e-17,5.777e-18,158.0721,-578.5
FrontDG1044,166.8154,101.5351,1.592e-17,1.281e-17,5.763e-18,83.8228,-578.49
FrontDG1045,166.876,101.6034,2.299e-17,1.848e-17,7.933e-18,63.0661,-578.55
FrontDG1046,166.8527,101.7502,2.301e-17,1.784e-17,9.041e-18,63.8598,-578.68
FrontDG1047,166.7642,101.6068,2.245e-17,1.848e-17,8.844e-18,66.8931,-578.76
FrontDG1048,166.9739,101.5853,2.149e-17,1.945e-17,8.166e-18,70.5492,-578.61
FrontDG1049,166.8573,101.6343,2.35e-17,1.895e-17,8.516e-18,60.8728,-578.33
FrontDG1050,166.8201,101.7206,3.334e-17,2.708e-17,1.207e-17,64.3245,-578.26
FrontDG1051,167.1797,101.5976,2.326e-17,1.797e-17,7.975e-18,73.4117,-578.25
FrontDG1053,171.4161,72.7289,9.868e-18,9.238e-18,4.193e-18,44.5263,-842.11
FrontDG1054,171.4001,72.7696,1.573e-17,1.239e-17,5.694e-18,36.0965,-841.99
FrontDG1055,171.3991,72.8547,1.069e-17,8.2e-18,3.713e-18,52.1474,-841.97
FrontDG1082,171.6833,115.3657,1.755e-17,1.282e-17,6.658e-18,154.7686,-567.84
FrontDG1083,171.8982,115.4756,2.488e-17,1.956e-17,9.546e-18,70.4533,-567.65
FrontDG1084,171.8127,115.5945,2.725e-17,2.215e-17,1.037e-17,100.1109,-567.96
FrontDG1085,171.5281,115.4605,2.203e-17,1.947e-17,8.809e-18,77.1057,-568.13
FrontDG1086,171.3566,115.2746,2.473e-17,2.145e-17,9.713e-18,64.5356,-567.99
FrontDG1087,171.7766,115.3303,1.842e-17,1.569e-17,6.43e-18,87.6369,-567.86
FrontDG1088,171.7158,115.4553,2.582e-17,2.039e-17,8.647e-18,66.3535,-568.11
FrontDG1092,203.2414,85.1463,6.956e-17,5.288e-17,2.495e-17,159.3659,-261.52
FrontDG1110,142.6589,128.454,1.247e-17,1.068e-17,4.847e-18,49.5048,-821.54
FrontDG1113,142.9296,128.5629,1.13e-17,8.834e-18,4.679e-18,47.9264,-821.36
FrontDG1127,142.6431,128.3701,1.237e-17,1.029e-17,4.501e-18,53.6883,-821.57
FrontDG1131,142.3683,128.1915,8.484e-18,6.724e-18,3.294e-18,54.2016,-821.31
FrontDG1149,149.9248,76.2141,2.881e-17,1.897e-17,8.313e-18,113.3266,-900.57
FrontDG1150,150.1653,75.9717,1.053e-17,9.055e-18,4.198e-18,38.5955,-900.17
FrontDG1151,149.9638,75.8702,1.005e-17,9.265e-18,4.112e-18,40.1464,-900.36
FrontDG1152,149.7061,76.3797,9.449e-18,8.155e-18,3.391e-18,41.9319,-900.09
FrontDG1153,149.9437,76.2987,1.056e-17,8.53e-18,4.152e-18,47.9069,-900.53
FrontDG1154,149.8623,76.4906,6.404e-18,5.22e-18,2.33e-18,55.0667,-900.35
FrontDG1155,149.6875,76.2168,9.552e-18,7.391e-18,3.868e-18,47.5821,-900.3
FrontDG1156,149.9834,75.9706,1.011e-17,7.341e-18,3.591e-18,42.5167,-900.33
FrontDG1157,150.1518,76.1316,6.603e-18,5.941e-18,2.373e-18,70.941,-900.42
FrontDG1158,149.7675,76.2549,9.225e-18,8.335e-18,3.552e-18,39.5654,-900.25
FrontDG1159,149.6213,76.1553,1.049e-17,9.128e-18,4.086e-18,42.2551,-900.31
FrontDG1160,149.8274,76.0229,6.83e-18,5.806e-18,2.751e-18,65.1513,-900.28
FrontDG1161,150.2673,76.0135,1.394e-17,1.308e-17,5.097e-18,45.483,-900.39
FrontDG1162,149.8876,76.3195,1.018e-17,8.773e-18,4.009e-18,49.2641,-900.45
FrontDG1163,150.0396,76.0812,9.954e-18,9.061e-18,3.871e-18,42.0819,-900.46
FrontDG1164,149.6797,76.1378,6.569e-18,5.423e-18,2.762e-18,55.0067,-900.47
FrontDG1165,149.9005,76.4661,6.89e-18,5.412e-18,2.674e-18,67.874,-900.53
FrontDG1166,150.0334,76.0791,9.532e-18,7.939e-18,3.756e-18,43.5655,-900.59
FrontDG1167,150.0557,76.2826,1.103e-17,8.131e-18,4.352e-18,51.0496,-900.45
FrontDG1168,150.0801,75.9497,9.062e-18,8.318e-18,3.425e-18,38.6095,-900.56
FrontDG1169,149.9437,76.0414,6.988e-18,5.554e-18,2.496e-18,68.1898,-900.71
FrontDG1170,149.7995,76.0108,9.251e-18,7.949e-18,3.814e-18,43.5804,-900.37
FrontDG1201,208.3663,52.8759,2.205e-17,1.854e-17,8.261e-18,87.8372,-494.43
FrontDG1205,213.0764,87.3112,8.968e-18,6.869e-18,3.384e-18,42.3833,-934.36
FrontDG1206,212.9983,87.2641,9.054e-18,7.242e-18,3.633e-18,36.7816,-934.83
FrontDG1207,213.0575,87.3611,9.296e-18,8.212e-18,4.014e-18,45.7475,-934.61
FrontDG1223,170.5065,70.4007,7.959e-18,6.355e-18,2.828e-18,54.0875,-841.28
FrontDG1224,158.9688,126.3712,8.854e-18,7.468e-18,3.587e-18,63.4267,-760.12
FrontDG1449,136.9165,92.8217,7.964e-18,6.303e-18,3.256e-18,48.7423,-900.47
BackDG0149,333.0721,84.3754,9.424e-18,8.843e-18,3.805e-18,96.3847,-724.25
BackDG0150,333.0584,84.4347,1.484e-17,1.305e-17,6.146e-18,59.9871,-724.02
BackDG0151,333.1889,84.2781,1.091e-17,8.574e-18,4.314e-18,70.8742,-724.03
BackDG0152,333.1635,84.3173,1.427e-17,1.227e-17,6.186e-18,69.457,-724.47
BackDG0153,333.2326,84.3512,1.772e-17,1.419e-17,6.087e-18,59.6007,-724.43
BackDG0154,333.1359,84.568,1.533e-17,1.289e-17,5.579e-18,53.2228,-724.18
BackDG0155,333.0472,84.3206,1.477e-17,1.316e-17,5.419e-18,60.5433,-724.29
BackDG0156,14.2285,114.286,7.353e-18,6.538e-18,3.005e-18,51.8188,-893.43
BackDG0196,19.1014,95.0948,2.543e-17,2.279e-17,1.017e-17,184.1213,-411.28
BackDG0197,19.0815,94.9579,3.616e-17,3.15e-17,1.385e-17,83.1712,-411.09
BackDG0198,19.2782,94.8182,3.796e-17,3.429e-17,1.439e-17,86.3252,-411.09
BackDG0199,19.3198,95.2013,4.04e-17,3.488e-17,1.491e-17,84.3215,-411.56
BackDG0200,19.2153,94.8858,3.902e-17,3.225e-17,1.354e-17,80.6747,-411.51
BackDG0201,19.369,95.2177,4.196e-17,3.127e-17,1.419e-17,91.5385,-411.45
BackDG0202,18.8199,95.0052,4.78e-17,3.679e-17,1.628e-17,82.4813,-411.31
BackDG0203,13.8855,120.0156,1.25e-17,9.965e-18,4.242e-18,86.2231,-695.42
BackDG0204,13.7683,120.0336,1.605e-17,1.388e-17,6.637e-18,55.8476,-695.19
BackDG0205,13.8359,120.0066,1.943e-17,1.672e-17,6.58e-18,62.7172,-695.09
BackDG0206,13.8795,119.9099,1.693e-17,1.643e-17,6.722e-18,45.381,-695.1
BackDG0207,13.9144,119.9506,1.794e-17,1.544e-17,6.246e-18,56.5015,-695.12
BackDG0292,327.4115,56.5823,9.794e-17,7.527e-17,2.558e-17,109.9103,-452.8
BackDG0293,327.599,56.5108,3.52e-17,2.754e-17,1.287e-17,77.9435,-452.61
BackDG0294,327.7322,56.4832,3.507e-17,2.947e-17,1.193e-17,79.5879,-452.73
BackDG0295,327.4564,56.5236,2.184e-17,2.01e-17,8.728e-18,148.1986,-453.04
BackDG0296,327.4532,56.5074,4.064e-17,3.083e-17,1.464e-17,87.9934,-452.82
BackDG0297,327.5897,56.7469,3.973e-17,2.962e-17,1.605e-17,87.2964,-452.67
BackDG0298,327.0776,56.8119,3.565e-17,3.05e-17,1.348e-17,114.5629,-452.78
BackDG0299,327.3731,56.513,3.767e-17,3.209e-17,1.522e-17,92.7507,-452.74
BackDG0300,327.6433,56.3599,4.064e-17,3.259e-17,1.361e-17,104.0608,-452.58
BackDG0301,327.2708,56.5,3.465e-17,2.798e-17,1.197e-17,76.0521,-452.5
BackDG0302,8.2321,118.2632,3.919e-17,2.828e-17,1.021e-17,118.8756,-771.17
BackDG0303,8.2806,118.5131,8.392e-18,7.049e-18,3.199e-18,72.5264,-771.39
BackDG0304,8.1006,117.9733,1.218e-17,9.819e-18,4.744e-18,47.3527,-771.51
BackDG0305,8.4521,118.2476,1.326e-17,1.145e-17,4.52e-18,49.7099,-771.07
BackDG0306,8.348,117.9494,1.96e-17,1.676e-17,6.777e-18,45.8108,-771.11
BackDG0307,8.2403,118.7082,1.221e-17,1.168e-17,4.879e-18,47.3388,-771.44
BackDG0308,8.6142,118.0067,1.232e-17,1.086e-17,5.081e-18,49.274,-771.38
BackDG0309,8.5204,118.1053,1.591e-17,1.043e-17,5.382e-18,60.9124,-771.59
BackDG0310,8.5558,118.1823,1.206e-17,1.037e-17,4.868e-18,46.9965,-771.05
BackDG0311,8.4344,117.8715,1.282e-17,1.105e-17,4.541e-18,45.8182,-771.43
BackDG0312,8.3979,118.5545,1.978e-17,1.533e-17,6.338e-18,52.5364,-771.2
BackDG0313,8.3329,118.321,1.061e-17,7.935e-18,3.835e-18,124.8925,-771.63
BackDG0314,8.6053,118.433,1.378e-17,1.081e-17,5.057e-18,52.0162,-771.58
BackDG0315,8.0558,118.4538,1.361e-17,1.182e-17,5.266e-18,62.6689,-771.34
BackDG0316,7.9883,118.4293,8.685e-18,7.454e-18,3.36e-18,80.0566,-771.52
BackDG0317,8.3357,117.8463,8.548e-18,8.045e-18,3.808e-18,52.2089,-771.39
BackDG0318,8.3531,118.2229,9.661e-18,7.261e-18,3.568e-18,118.8142,-771.49
BackDG0319,7.896,118.0508,1.371e-17,1.14e-17,5.898e-18,53.2503,-771.36
BackDG0320,8.313,118.3429,9.168e-18,7.637e-18,3.426e-18,76.3038,-771.37
BackDG0321,8.4113,118.551,8.974e-18,7.744e-18,3.298e-18,78.4058,-771.32
BackDG0322,8.3717,118.2036,1.329e-17,9.792e-18,5.256e-18,61.0592,-771.17
BackDG0323,8.2656,118.0528,1.394e-17,1.13e-17,5.108e-18,62.2709,-771.14
